Hash,Size,Stripped,N_Symbols,Complexity,cpu_type,file_type
35f2c9819f62d93d9e7206617847fb7a,203676.0,True,98.0,88.0,x86_64,application/x-mach-binary
685a80862635615a1cd11204a666fd46,20760.0,True,3.0,72.0,x86_64,application/x-mach-binary
bc6be94356d37c473f564c0dd369c521,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
6ad23a28968d972ffa44a50770733171,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
ac54ac49b930495c3f6aa74836bba629,6473820.0,True,152.0,0.0,x86_64,application/x-mach-binary
450d184a1f40f8584a76a3b9b47f8278,1163252.0,True,285.0,141.0,x86_64,application/x-mach-binary
e77a63ff5f13a130eb5e3ddfa4dead12,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
bb9db878cd484d7d1794fdaedd766aac,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
721f073c6301f28c3b904f6162e33ef1,1417536.0,True,269.0,1.0,x86_64,application/x-mach-binary
8b94110f88c8a668cd0bf5181b177800,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
4aa4894d653776c635e1c613aed556ef,325292.0,True,323.0,122.0,x86_64,application/x-mach-binary
a8e37e593277efb358b269854761fac6,7422864.0,True,992.0,1.0,x86_64,application/x-mach-binary
89230debc8af3cdf890be68484dbef1a,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
f886b19a77081fee4e82c5d94589171b,24576.0,True,1.0,2.0,x86_32,application/x-mach-binary
6d4422dd6f5ff9229900ba453c994a76,683552.0,True,224.0,33.0,x86_64,application/x-mach-binary
7bd8e4517618e79f9b8b3b7f88c48084,3757016.0,True,353.0,285.0,x86_64,application/x-mach-binary
c5726f89f657bc9f2267c802f138f427,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
1a6d3f34825e323dc87a74bfa52a21b0,447216.0,True,586.0,12.0,arm_64,application/x-mach-binary
c2fd700654a130408ee05849948108af,2979232.0,True,166.0,1.0,x86_64,application/x-mach-binary
0ba2efb8f93bea9b9df57c8bb4d3a37c,49152.0,True,81.0,2.0,ppc_32 x86_32,application/x-mach-binary
4b87f0c0540e45e6fe973bb0ed95a56f,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
8f7472bb1c23df56f8098f8242dffba8,1260624.0,True,188.0,1.0,x86_64,application/x-mach-binary
4a2c934e711a056cdcb2413fc2bed54c,2690496.0,True,162.0,1.0,x86_64,application/x-mach-binary
538c63090aff969e241b92c50104fdd8,3354464.0,True,99.0,0.0,x86_64,application/x-mach-binary
1f8e87219de40aac4e6275bd16eafa00,32994700.0,True,1321.0,61.0,x86_64,application/x-mach-binary
8e2047b50c358f0af3b73dda33d4e96f,207772.0,True,98.0,88.0,x86_64,application/x-mach-binary
