Command,Count,% Over total
/Users/maria/Desktop/72d2863d948b3fefa96787aeb657fcb60cde9da601c3f23c03f3e8147b18,1,0.00%
/Users/maria/Desktop/ebf25be0f1f80a86c6ab159179543c32aa752a35520ec5cb71797924fef7,1,0.00%
/Users/maria/Desktop/607677945.txt,1,0.00%
/Users/maria/Desktop/c9e3d75281585d58351f9b5304d54439ae85dccaae8969afdbcfc420063f,1,0.00%
/Users/maria/Desktop/DONURBBL9D,1,0.00%
/Users/maria/Desktop/0ea40f89088a7258b94793611ef7e382e25786563bd8d81fda7a52a0e424,1,0.00%
/Users/maria/Desktop/db2396b4e133a84c27ccce3e7220f1da8042e8a5652c2a7e9fc5b9b41670,1,0.00%
/Users/maria/Desktop/aabd6f7f6c2f3453b8ea331f10016bda2de9b92b1ea521a40ac373aa05fe,1,0.00%
/Users/maria/Desktop/VkqkThKnw6,1,0.00%
/Users/maria/Desktop/f52cb82ff44ecef85ae9b62dd50555138ae4a045113f637e944f18fc42e2,1,0.00%
/Users/maria/Desktop/ScUcbmFxJp,1,0.00%
/Users/maria/Desktop/dedBoiZABt,1,0.00%
/Users/maria/Desktop/setup.app,1,0.00%
/Users/maria/Desktop/Z2ekG4sESR,1,0.00%
/Users/maria/Desktop/ZogYYzoZIY,1,0.00%
/Users/maria/Desktop/r1nZhsiz7g,1,0.00%
/Users/maria/Desktop/xT7jD9rH0y,1,0.00%
/Users/maria/Desktop/07359c975abd94ac7d204c71ffa92e89f2fd307ed4e6b79f95740ad9111b,1,0.00%
/Users/maria/Desktop/a1SdVSyG81,1,0.00%
/Users/maria/Desktop/QjHs7HSAkD,1,0.00%
/Users/maria/Desktop/303e8c588e4bf10130402e548207e1718b16ea3906989060006136581ac3,1,0.00%
/Users/maria/Desktop/111ecc06f70a01adb11bda4de72db5b23e5b48d29a7098171adc6f677d8c,1,0.00%
/Users/user1/Desktop/0f0f7699010ce37ef96fc3534e46f03bfa3a2c6778dc0573b1138942d2d8,1,0.00%
/Users/maria/Desktop/1R82ShCwqb,1,0.00%
/Users/maria/Desktop/251Cdu5JTq,1,0.00%
/Users/maria/Desktop/6YFaCUMOfi,1,0.00%
/Users/maria/Desktop/452560a88c667063a48392e9fc8a54b90afab3f8f9aa02997f4e_0.macho,1,0.00%
/Users/maria/Desktop/32LbZYPW6C,1,0.00%
/Users/maria/Desktop/DxL6CP34c5,1,0.00%
/Users/user1/.mNcvgf2y/.wXRLMDPE,1,0.00%
/Users/user1/Desktop/8gM4E7Lu,1,0.00%
/Users/user1/Desktop/a71deb76f585b29e5a030ecaa55b8495fdb8332e6a5882f38f88af4408c4,1,0.00%
/Users/maria/Desktop/626416473.txt,1,0.00%
/Users/user1/Desktop/5f59e536e7285982556c635e55d1069617d2d76f9a74e35e378e6ec07cbc,1,0.00%
/Users/maria/Desktop/m5yA2b0MVe,1,0.00%
/Users/maria/Desktop/KQO1HvNtB5,1,0.00%
/Users/maria/Desktop/q9YshsM1Tn,1,0.00%
/Users/user1/Desktop/1afa8c6ab1ca29a56ac2e7175abe03831d7b4b884a0f758c27c88df8e06a,1,0.00%
/Users/maria/Desktop/RQoEbUlFfJ,1,0.00%
/Users/maria/Desktop/xCQAgbmK7f,1,0.00%
/Users/maria/Desktop/KHKrtM6Tj7,1,0.00%
/Users/user1/Desktop/3sVnL91IwG,1,0.00%
/Users/maria/Desktop/PRgx4vlbgq,1,0.00%
/Users/maria/Desktop/55dc0cd1daec9fe192f3ac7e6dbd35e801f8adc78f6d7356b692b3aafdce,1,0.00%
/Users/maria/Desktop/oN2R66uvLQ,1,0.00%
/Users/maria/Desktop/nBotJDokY4,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.WMkd4fgb/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/fb0dNOs4Ih,1,0.00%
/Users/maria/Desktop/28efd86163f4f5efab936ae82496e2d8036b5822bb96c97eb0bd7b3a37a2,1,0.00%
/Users/maria/Desktop/oF60REer9h,1,0.00%
/Users/maria/Desktop/dfc507d2784f45f05109f017b5e6b050710db99053d70ba99491a19cf054,1,0.00%
/Users/maria/Desktop/tamqlvbi,1,0.00%
/Users/maria/Desktop/a7eaa52f157756acef35242d08c5b67d0932b0e034fe2a6c03ca9814f0af,1,0.00%
/Users/maria/Desktop/GX3EvOFK97,1,0.00%
/Users/maria/Desktop/625419309.txt,1,0.00%
/Users/maria/Desktop/SkI07fUEv6,1,0.00%
/Users/maria/Desktop/JcSc66eTsF,1,0.00%
/Users/maria/Desktop/fz3CsXClQK,1,0.00%
/Users/maria/Desktop/aa18b7a90bbf2abe35f8879b3329c13884826c990e3dc384fdf57a4b9e15,1,0.00%
/Users/maria/Desktop/d2854207b3c8ad3e515ee47fc01d07513c1684d9121ca93ecda68340637e,1,0.00%
/Users/user1/Desktop/e5fc0db65c9c28cdb94b5d79b0545e6247e420a4f45698035f0ba728f7e2,1,0.00%
/Users/maria/Desktop/7fc072153175665f2582d6707a39b6daf6f8a4811e8ac2ffaf8f7971407b,1,0.00%
/Users/maria/Desktop/xOcXMBMkuj,1,0.00%
/Users/maria/Desktop/YePzYkYmjr,1,0.00%
/Users/maria/Desktop/5bffb2dd39aaefed478cd186203098398806e7755e79d1322936bf3f13db,1,0.00%
/Users/maria/Desktop/3870b377393102cf4e7c9020d60dca8afff1275556bb2ac6f20388cec9fd,1,0.00%
/Users/maria/Desktop/1eaeb603d5de1202fc4d89c924b440d368a70039b10723f3e2d3cd6323af,1,0.00%
/Users/maria/Desktop/W8nMN1VpYU,1,0.00%
/Users/maria/Desktop/09JpKKmWQZ,1,0.00%
/Users/maria/Desktop/HIScg4rYWj,1,0.00%
/Users/user1/Desktop/dc5462f34c81013ac605343c0b0eab4c6223fff3ccde00470719caadd87b,1,0.00%
/Users/user1/Desktop/3ba07233b72ca836ed7f4057e455dfd963633098ce561717ecf53e4d4930,1,0.00%
/Users/maria/Desktop/dff6dfbf5642a8610f727df51d42acdb33efb780dc7908c000b8390c3902,1,0.00%
/Users/maria/Desktop/03d6d5dd3035d8078b050a02da19ae613e18d91fd22c17e5cd5b3399041c,1,0.00%
/Users/maria/Desktop/A61gO3Nmqn,1,0.00%
/Users/maria/Desktop/Fj3gGNXj44,1,0.00%
/Users/maria/Desktop/TZi4wMyLHC,1,0.00%
/Users/maria/Desktop/f7d714da65aa0316d4cc034d2db515da197dea4b142a2ac5eae5af22d0bf,1,0.00%
/Users/maria/Desktop/AlMopl5S25,1,0.00%
/Users/maria/Desktop/600e0dcf3e74cac04d8831a6108bc07da6c7e4df4efb01e6722c7085d53c,1,0.00%
/Users/maria/Desktop/mk63PGf76D,1,0.00%
/Users/maria/Desktop/68be84063224a064a17be3bb15c22f5065cf2d15e2215a396f0c2885de5e,1,0.00%
/Users/user1/Desktop/6d652f86a3bf80d1ec75852c9daccfd9a9a9ae8b297e4a4ffe38be9b8a76,1,0.00%
/Users/maria/Desktop/416fa7369452c0ee0a7348ce7e339a99c860a3df78b6097feac38ee619f6,1,0.00%
/Users/maria/Desktop/EE2vdb6wDc,1,0.00%
/Users/maria/Desktop/c78b5097d2fe493056ce9b4326f739f6a6d4b768f3781ee09ec8bb9ff9c0,1,0.00%
/Users/user1/Desktop/lzNuo7HE2f,1,0.00%
/Users/maria/Desktop/i0tzxcOHqW,1,0.00%
/Users/maria/Desktop/meunuzhGhv,1,0.00%
/Users/maria/Desktop/607611569.txt,1,0.00%
/Users/maria/Desktop/e1b3ecaad6fb5fac0f27584545775b0925b1ca6d8fcc580eb39ad6fb057b,1,0.00%
/Users/maria/Desktop/insert_dylib,1,0.00%
/Users/maria/Desktop/mx06VtvtLI,1,0.00%
/Users/maria/Desktop/WSEBFBitFx,1,0.00%
/Users/maria/Desktop/g5XjVEarF7,1,0.00%
/Users/maria/Desktop/1ae94d2a07d3ac11908e1d4d869a44769bb44dd3e45a39648f4e003ba076,1,0.00%
/Users/maria/Desktop/B2PAx5k4UG,1,0.00%
/Users/maria/Desktop/pFxUKM49RC,1,0.00%
/Users/maria/Desktop/43pQAGrJmR,1,0.00%
/Users/maria/Desktop/2ee868c31e9c3628a193c0fdd2d3df08cdabc38babd4c4b3b468a0810395,1,0.00%
/Users/maria/Desktop/opK4TYMV8I,1,0.00%
/Users/maria/Desktop/solana-faucet-x86-testnet-v1.16.4,1,0.00%
/Users/maria/Desktop/nl1zESeYRa,1,0.00%
/Users/maria/Desktop/xD2ErrXlGv,1,0.00%
/Users/maria/Desktop/d68b2b3289d47599b80ec38163bd81ebaf1119b4f072b5887828e3836ec8,1,0.00%
/Users/maria/Desktop/7697b9ddddb42843eedbd8c42774bb8975ee3ae07f57b72dbc15f6991e3f,1,0.00%
/Users/user1/Desktop/ftARkmJc4j,1,0.00%
/Users/user1/Desktop/configd,1,0.00%
/Users/maria/Desktop/W0P5CQ5Awm,1,0.00%
/Users/maria/Desktop/0ceb4097586a85ebd8195ea6823fdfbb00febd8c030584b795b093e869b6,1,0.00%
/Users/maria/Desktop/1cemQLt6H7,1,0.00%
/Users/maria/Desktop/8751da5be58170c41e7bda81f36030a948f696ae905720aa7e0d04a4f9fc,1,0.00%
/Users/user1/Desktop/ogAHfhx76N,1,0.00%
/Users/maria/Desktop/s88e2LLg5S,1,0.00%
/Users/maria/Desktop/w2OZ0hI785,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.6gjmvYo1/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/qjoDI755OU,1,0.00%
/Users/maria/Desktop/fc055a3e12981cd81b5eb932b9b4077df458c1af2feaf085f496a486dca2,1,0.00%
/Users/user1/Desktop/ea1plJsUVZ,1,0.00%
/Users/maria/Desktop/3c05482dae2bb001ef78f0a20dc0902cc21e98b9115e26060a77ff30bc1e,1,0.00%
/Users/user1/Desktop/zhouyanping,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.TNDugfrY/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/Miu5w1ePmb,1,0.00%
/Users/maria/Desktop/ZoEkwWidRA,1,0.00%
/Users/maria/Desktop/nfP5hYjovq,1,0.00%
/Users/user1/Desktop/SwaEr49qQj,1,0.00%
/Users/maria/Desktop/7jSJKCBp5t,1,0.00%
/Users/maria/Desktop/eemEIRHUDy,1,0.00%
/Users/maria/Desktop/yzhB9vkXkn,1,0.00%
/Users/maria/Desktop/glqDHw8g0Y,1,0.00%
/Users/maria/Desktop/uC72yCwFFb,1,0.00%
/Users/maria/Desktop/j2xVdm1qIT,1,0.00%
/Users/maria/Desktop/GBD0972tNV,1,0.00%
/Users/maria/Desktop/dc89a3d8e658b7550cd2ab8bf31a02906e0f090d35ceacb10448e3b2ec79,1,0.00%
/Users/maria/Desktop/a6cd89918439117683ab9e1d9cbb6f77dce596719517fdc85cc3afe47657,1,0.00%
/Users/maria/Desktop/5304a4c6e1b591bc03ed99a873dada657382200fd5d62d1351ad1d11e7af,1,0.00%
/Users/maria/Desktop/dObtvCqdgk,1,0.00%
/Users/maria/Desktop/b77fe4c5149c60f17cc0e0a27ccad334a07739d6f319775587de0239d37f,1,0.00%
/Users/maria/Desktop/8mKmiL83qc,1,0.00%
/Users/maria/Desktop/yycsXtRDds,1,0.00%
/Users/maria/Desktop/qzs8TrX33p,1,0.00%
/Users/maria/Desktop/jxtR3Iq4IS,1,0.00%
/Users/user1/Desktop/197dbef478c64bc7d31ebf5665d3fa990997939394c08f1a7929444cd0ce,1,0.00%
/Users/user1/Desktop/d3de309ce9410ba597b53f5f7ca503eb3749db0abb2b5261037401d0a64e,1,0.00%
/Users/maria/Desktop/b36ff97d63380572edd11236099b3eb16744b4752ff210c61eab73fdef67,1,0.00%
/Users/maria/Desktop/5YnzTkhEzN,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.3Tb6vkfZ/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/30120fba15bbb30aa693fad4a13a7c133888fa152beb96c25c76c281bc7c,1,0.00%
/Users/maria/Desktop/XdRTeCIebR,1,0.00%
/Users/maria/Desktop/285d27e61e92e1e6044e2d65ce6da12655995e6907e08f8c6dbd4a217726,1,0.00%
/Users/maria/Desktop/edjCqBBuRd,1,0.00%
/Users/maria/Desktop/kozvPOsCBi,1,0.00%
/Users/maria/Desktop/e605264107bc3dd760e7a65f8c2100446f43b13dacf3de8126294b27440b,1,0.00%
/Users/maria/Desktop/eM5kUOaEKj,1,0.00%
/Users/maria/Desktop/GgY7I1rLps,1,0.00%
/Users/user1/Desktop/helper,1,0.00%
/Users/maria/Desktop/zqRTepnbXk,1,0.00%
/Users/maria/Desktop/ws486i7AuC,1,0.00%
/Users/maria/Desktop/dbb6fb4c7368e1241962259b0971e2ce421fd2dc2cad6ed109f3ee396a70,1,0.00%
/Users/maria/Desktop/ub9chu3PFU,1,0.00%
/Users/maria/Desktop/Ldk08iBWrm,1,0.00%
/Users/maria/Desktop/c327affb4d6ea0d3ef9ebaf380ba492693b1081a4ff13b5ff20506ebe800,1,0.00%
/Users/maria/Desktop/625192479.txt,1,0.00%
/Users/maria/Desktop/GPgnuzm9Ik,1,0.00%
/Users/user1/Desktop/891e319d0ae7f065883bdc5b88e44587c78c6fe8af97955093582a07b29a,1,0.00%
/Users/maria/Desktop/uOw3W3FWSy,1,0.00%
/Users/maria/Desktop/2eaf88008f548fb8fc1d80962358fedce555b3f1c9025d90dbf9f142e13e,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.PKBxq6Bw/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/OIBl1j8nMK,1,0.00%
/Users/maria/Desktop/66f31a2b66a0fdbfd414a064ee60e5c71ae2a210ee6e0d1eb0753146d496,1,0.00%
/Users/maria/Desktop/va7FvRJ66F,1,0.00%
/Users/maria/Desktop/e00af3a3be9bffabcf2d0c480621605cf4b2b8af2403b53e87b40ba697b6,1,0.00%
/Users/bruno/Desktop/dismap-0.4-darwin-arm64,1,0.00%
/Users/maria/Desktop/za4yZd49Lc,1,0.00%
/Users/maria/Desktop/8hR26nL5rk,1,0.00%
/Users/bruno/Desktop/ca8X32XiEa,1,0.00%
/Users/maria/Desktop/uImdGJaEn8,1,0.00%
/Users/maria/Desktop/b2eGZIUWRW,1,0.00%
/Users/maria/Desktop/43621e4c8074a019cb8f9f57572689113dffef928ff81b6717439dc37880,1,0.00%
[applessdstatistic],1,0.00%
sh -c klist,1,0.00%
klist,1,0.00%
/Users/maria/Desktop/37af47eb6860c376e5f8fc18829efd55c310ebedb9a72aadc2a2038fa876,1,0.00%
/Users/maria/Desktop/ELAy3tFxac,1,0.00%
/Users/maria/Desktop/df341f7cd9f531e41097a7c7a97371e238b6b31fb8e32a82497f6a2506b5,1,0.00%
/Users/maria/Desktop/8008f7f0aa8446bc1faf0398b4ea3990c39b42e960e29a0c0cbebb78fcf3,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.DeIWsycW/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/29c6c6c4464fbefb6f8fa1c2a1039120fb422cdfd1137e2a6a4a5ee34238,1,0.00%
/Users/maria/Desktop/lSXFSFsnif,1,0.00%
/Users/bruno/Desktop/Howard's_Calendar,1,0.00%
/Users/maria/Desktop/Howard's_Calendar,1,0.00%
/Users/maria/Desktop/W76uhNYw4k,1,0.00%
/Users/maria/Desktop/fb511cd428212bd2d428dc09af602d202b1f7430ece617f9a1e2c1ccfbce,1,0.00%
/Users/maria/Desktop/3cfeefd25ec1a7c04a31881793555ee0f77f5aa19b1d06e3d54fdf89afbd,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.vcrsoc0M/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/Qt2iwbgBFZ,1,0.00%
/Users/maria/Desktop/V2QplTSKjR,1,0.00%
/Users/user1/Desktop/4735524e5666d20402f86daf797625efbaeabbc3bf3087f32f45b26f82f9,1,0.00%
ssh,1,0.00%
/Users/maria/Desktop/bc59f7b49111b9ce18e032061728be44f78beaa03eea452f6384d55b714c,1,0.00%
/Users/maria/Desktop/.BC.T_Ryr2Ho,1,0.00%
/Users/maria/Desktop/X06IqMqs3f,1,0.00%
/Users/maria/Desktop/XGx3kIEQks,1,0.00%
/Users/maria/Desktop/zalUe7Gsxw,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.zfIPzDOT/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/Egpf5Ud8VG.virus,1,0.00%
/Users/maria/Desktop/HZoCHE9p1n,1,0.00%
/Users/user1/Desktop/ad12f53cfa81a839a1bab651cf56080c211c010396a9cece73e69a798a78,1,0.00%
/Users/maria/Desktop/6R26EVX2vs,1,0.00%
/Users/user1/Desktop/PCelGYWpjM,1,0.00%
/Users/maria/Desktop/e6cQd8QEWz,1,0.00%
/Users/maria/Desktop/pirate-cli,1,0.00%
/usr/sbin/sshd,1,0.00%
/Users/maria/Desktop/5ad1a97fa0bb12a6e20207976985059849768e78c7d860aed53c5b2def27,1,0.00%
/Users/maria/Desktop/D4swXdOqL2,1,0.00%
/Users/maria/Desktop/68152c93e9633709b40a8d1ae62ee405fd90972b29cd72834e1a312be175,1,0.00%
/Users/maria/Desktop/qClLcB98Sh,1,0.00%
/Users/maria/Desktop/W3tigzVq0Q,1,0.00%
/Users/bruno/Desktop/f8234d81abe610c2ea614e6f585be7d42588e54e722d8356f91f1d2e5b4c,1,0.00%
/Users/maria/Desktop/p6X3FAItAi,1,0.00%
/Users/maria/Desktop/AppLM,1,0.00%
/Users/maria/Desktop/XFhMWOCC7x,1,0.00%
/Users/maria/Desktop/631154313.txt,1,0.00%
/Users/maria/Desktop/3YTqce6NdR,1,0.00%
/tmp/s8kazrHqPFou,1,0.00%
/Users/maria/Desktop/627657923.txt,1,0.00%
/Users/maria/Desktop/t1XhjcGaE6,1,0.00%
/Users/maria/Desktop/cc7c1679864cf5392f52c542b0bccb29f0a0185654c447dcd147_0.macho,1,0.00%
/Users/maria/Desktop/fEvN4aKac1,1,0.00%
/Users/maria/Desktop/nv6kAS63vy,1,0.00%
/Users/maria/Desktop/625037911.txt,1,0.00%
/Users/maria/Desktop/1f0776c53014f88da422a06583e697a8d595f1137854c30aebd7_0.macho,1,0.00%
/Users/bruno/Desktop/8bcc2f4ddc057936ac65311b0c468ef8c8a6eaa6e10e1a8b124f35cdb823,1,0.00%
/tmp/._ENOFmPHvaQ,1,0.00%
/Users/user1/Desktop/a727d19c12b1bc07684f242214e5be3504db8d975aeec3d6f6f41c20897a,1,0.00%
/Users/maria/Desktop/k2LS789ZV0,1,0.00%
/Users/maria/Desktop/1712b9d37a1f162b532871526380e73e84d2c4a780a3130179dab0b64afd,1,0.00%
/Users/maria/Desktop/91896ecf26080a826f08e6d082060d3fe6c8286f4d1241120fed6f46cce0,1,0.00%
/Users/maria/Desktop/zAHDXTAKHw,1,0.00%
/Users/maria/Desktop/7dad8776ac536f79b30cb3ee0cfd6fa00aa57b031f123b0a7fe6493681d2,1,0.00%
/Users/maria/Desktop/2AQN7Rq92K,1,0.00%
/Users/maria/Desktop/26Hu18ndz2,1,0.00%
/Users/user1/Desktop/bind.macho,1,0.00%
/Users/maria/Desktop/36Ft6WS10a,1,0.00%
/tmp/I3KwF8Bb4gH4,1,0.00%
/tmp/mqt8mSdv2xBe1,1,0.00%
/Users/user1/Desktop/577099235.txt,1,0.00%
/tmp/j6pQCkiHR4pb,1,0.00%
/Users/user1/Desktop/680kGKIP6u,1,0.00%
/Users/maria/Desktop/6ae5775d5cf69a6a5275fc22ddf7a4c17cb00ba3cdcba910dd19ea2fe2c0,1,0.00%
/Users/maria/Desktop/r86S9mmqYp,1,0.00%
/Users/maria/Desktop/fe79e464259c257dc3765e6149444827242d3f4f2562fdc0b931d93e3843,1,0.00%
/Users/maria/Desktop/zxgLHm5KHQ,1,0.00%
/Users/bruno/Desktop/5f6f6b178e474774b830270d692eb282fecdb8274780097f4d531f81670d,1,0.00%
/Users/maria/Desktop/0U3Cp27e1L,1,0.00%
/Users/maria/Desktop/8e68ad36cbd92e8353c7fdad8d33b88cab4a73318c126e7bbb37d6083092,1,0.00%
/Users/user1/Desktop/c84704bb02b741b04383fcc37db6acaa2c3c6bc8d2d2dcb6e38e7f897671,1,0.00%
/Users/maria/Desktop/RJfiStM1JL,1,0.00%
/Users/maria/Desktop/a0ea1ad440eee513452e338f86a8dd0159235cac2b4a20f7411bcd4ac4d3,1,0.00%
/Users/bruno/Desktop/pPOxGdpBKV,1,0.00%
/Users/maria/Desktop/piCjQObZ3z,1,0.00%
/Users/maria/Desktop/kkJmEAmsDd,1,0.00%
/Users/maria/Desktop/5560dc096776ee4f3cfa54551d0e6bd4aeca99344ee6f04f2f2f4c6697fc,1,0.00%
/Users/maria/Desktop/YFSZDbTmGP,1,0.00%
/Users/maria/Desktop/c03f734ff866fc8670044814c935e82c25d8d67a96b968f7ceb05783c2bb,1,0.00%
/Users/maria/Desktop/x8uYewbUjQ,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.rk6MO3er/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/ExXoEsBSyI,1,0.00%
/Users/maria/Desktop/Rt7q9Q5ct9,1,0.00%
/Users/user1/Desktop/mihoyo,1,0.00%
/Users/maria/Desktop/c557a6f95ad1dcabf4f537419bfc96f98fc970e0b10ef3bcda3786939560,1,0.00%
/Users/maria/Desktop/0cc6451adc3635c66e87d0c1a2493619cacbe9ddd5723d525edd7680460f,1,0.00%
/Users/maria/Desktop/TuataraContract,1,0.00%
/Users/maria/Desktop/8IjzxaTWSV,1,0.00%
/Users/maria/Desktop/cyjG2eHGsn,1,0.00%
/Users/maria/Desktop/.BC.T_yVHwsj,1,0.00%
/Users/maria/Desktop/f3ec21285e2ec49a81b9d6bb12aa5f5e58d9a5592246ba56f339807379b4,1,0.00%
/Users/maria/Desktop/cdk_darwin_amd64_(10),1,0.00%
/Users/maria/Desktop/3vEg7hAxin,1,0.00%
/Users/user1/Desktop/N9EQPCKEvB,1,0.00%
/Users/maria/Desktop/uijHSD7dac,1,0.00%
/Users/maria/Desktop/628861393.txt,1,0.00%
/tmp/zL8syfXdTpZmd,1,0.00%
/tmp/UBeHSxjFY5OWR,1,0.00%
/Users/maria/Desktop/ebjmot,1,0.00%
/Users/maria/Desktop/r28XTLek5Z,1,0.00%
/Users/maria/Desktop/dD8Fk4gNnk,1,0.00%
/Users/bruno/Desktop/1ceae197f76b3d0b63c3af1239be3e840066ac2d6540c98e9887399226a6,1,0.00%
/Users/maria/Desktop/0sNgSFZAiI,1,0.00%
/Users/maria/Desktop/Q19sryIYLm,1,0.00%
/Users/maria/Desktop/zsgp9A6E1w,1,0.00%
/Users/user1/Desktop/4ea1e18a647fdebc8fe24bb6c6ca5b40cbdbb4b347ce9f8631a0e575f57d,1,0.00%
/Users/user1/Desktop/bitcoind,1,0.00%
sh /tmp/ewb30VKIeXYH pkgsh,1,0.00%
/Users/maria/Desktop/g8FYLnRLxn,1,0.00%
/Users/maria/Desktop/4e4921e34983db0e1f2f8ef2720e8ca5cac554da3c83e0fc0e180648ec02,1,0.00%
/Users/maria/Desktop/s1pFVJh1Lx,1,0.00%
/Users/maria/Desktop/fmZOQJKtYp,1,0.00%
/Users/maria/Desktop/vS1cNNuyUc,1,0.00%
/Users/maria/Desktop/ybbNX1ym53,1,0.00%
/Users/user1/Desktop/afa5ddb6443a6becf0f0f987389af58ecd907248f179327630f68f4de47f,1,0.00%
/Users/maria/Desktop/2ead84a1d6cb123d863c37067bc9085f622a31574dd212e8b288af54650e,1,0.00%
/Users/maria/Desktop/3d426abc0f20c9fbc7af8dd4527e1580e2ac4b1fbe8b6a023d331648cdac,1,0.00%
/Users/maria/Desktop/580b2c9d28d8dfc856825c22023a27cd1db07f77d2c88fed4e370a1b15db,1,0.00%
/Users/maria/Desktop/7xxV1Duf8B,1,0.00%
/Users/maria/Desktop/7c1f0f57ba19b732e56ea4a9cbed3d938cff7d30044784585a9357d781e9,1,0.00%
/Users/maria/Desktop/44a932a7ef5beb62d3691e228bbca763efb2a3daf4aee6303996edff9def,1,0.00%
/Users/maria/Desktop/f0684456c26da769a2e0d29c5a726e86388901370ddf15bd3b355597d564,1,0.00%
/Users/maria/Desktop/9aTx8r8OEe,1,0.00%
/Users/maria/Desktop/aa29aa181c77e2a13ab88fe92c678c4b5d9c1b51aa624d25772b7de6d2d3,1,0.00%
/Users/maria/Desktop/c4461b325a51b9edc3e0a72a5be8525971d5235d9be62b6c4205da593c8c,1,0.00%
/Users/maria/Desktop/626828807.txt,1,0.00%
/Users/bruno/Desktop/gas2YTPMVv,1,0.00%
/Users/user1/Desktop/7d7e9a0042e6a195b63bae7cab73940fdd3dbafbb0bce1db67e9633183bb,1,0.00%
./Psorophora,1,0.00%
/Users/user1/Desktop/579152391.txt,1,0.00%
/Users/maria/Desktop/f81ab4c279632253d078131d26eac55bed9b35f6d50e173c2a470ecf467b,1,0.00%
/Users/maria/Desktop/489a7a47911de5e634b44a475e53c8da8ccc4368846dfcff9e0904fe383d,1,0.00%
/Users/maria/Desktop/0b0a19a02b1fd3139b229231d33b9547c35500128725f0d409257dbe78b9,1,0.00%
/Users/maria/Desktop/3ewfo7p9Xo,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.uAPAU0rf/Installer.app/Contents/MacOS/Installer,1,0.00%
/tmp/ewb30VKIeXYH,1,0.00%
/tmp/JYNCgwOR4GyZ2,1,0.00%
/Users/user1/Desktop/DynamicLush,1,0.00%
/Users/maria/Desktop/610872949.txt,1,0.00%
/Users/maria/Desktop/3c23ae62b4f755c34a1696ae6cf23c23d85a0305eb8050c7ac568f68fbe0,1,0.00%
/Users/maria/Desktop/HMtG1WFSxJ,1,0.00%
/Users/maria/Desktop/XVSMIk4SVU,1,0.00%
/Users/maria/Desktop/LeswmyNnYE,1,0.00%
/Users/maria/Desktop/1986REBORN,1,0.00%
/Users/user1/Desktop/8582b9d9de41e3c74a858bae18ea50f9f2604bc3322800715d85bab3e90f,1,0.00%
/Users/bruno/Desktop/e33659cb7b62a4f30ccf3c017de3e6c3a90cc5d7257c26f7590f9a0a336b,1,0.00%
/Users/user1/Desktop/1j4tRE8H84,1,0.00%
/Users/maria/Desktop/aa32c9b02b527c536dd4ec0a5890d9d4d36c3fef30d0a2501daf53ef821c,1,0.00%
/Users/maria/Desktop/971c9d747ca7d2bf13fad3d86020500cd45d2a408de7497fb0590654a745,1,0.00%
/Users/maria/Desktop/dvxPiM7AR1,1,0.00%
/Users/user1/Desktop/8a5b6c7712cd4f2528f00d4891ef94699069066e540e8dc0a45a4b1f8c56,1,0.00%
/Users/maria/Desktop/28935fef0cd3d8113679640bbfc74b92ff165f303e70e35f3d247dc48b9d,1,0.00%
/Users/maria/Desktop/sxbIClzqN0,1,0.00%
/Users/maria/Desktop/tdTo9MPuen,1,0.00%
/Users/user1/Desktop/f11e853c73325a12db88b9b518796cb08a97fb8fed7138a634e9a7f1d759,1,0.00%
/Users/user1/Desktop/d76N5naVo5,1,0.00%
/Users/user1/Desktop/uxfFbeeZxk,1,0.00%
/Users/maria/Desktop/ovmX3D2ruL,1,0.00%
/Users/maria/Desktop/wyQ5ge10Rh,1,0.00%
/Users/maria/Desktop/Slack_MacOS,1,0.00%
/Users/maria/Desktop/cd99cb5e5e553addca4b27cfaa63cf80f5bca22ecc2c93170d65fd05c096,1,0.00%
