Command,Count,% Over total
/Users/maria/Desktop/fscan,3,0.01%
/Users/bruno/Desktop/surfaceheatdiffuse,3,0.01%
~/Library/GqENkJ0dZZWocNc3yGIeuVUJf09m1l,3,0.01%
~/Library/FX9919DR7wEG6MilhsUFbVYFtPoooU,3,0.01%
/Applications/.Google/switch,3,0.01%
/Users/maria/Desktop/.test,3,0.01%
/Users/maria/Desktop/TaiSpace,3,0.01%
/Users/maria/Desktop/SilentDown,3,0.01%
./Pipidae,3,0.01%
/Users/user1/Desktop/merlin.bin,3,0.01%
/Users/maria/Desktop/AsanaSetup,3,0.01%
/Users/maria/Desktop/VDeckSetup,3,0.01%
/Users/maria/Desktop/toncap,3,0.01%
~/Library/EhkTicBW0fMYgqkcLyqELSrMHlQJMt,3,0.01%
/Users/user1/Desktop/test.exe,3,0.01%
/Users/maria/Desktop/StaticLibraryMacApp,3,0.01%
/usr/bin/awk,3,0.01%
/Users/maria/Desktop/ngrok,3,0.01%
/Users/maria/Desktop/Trello,3,0.01%
/Users/maria/Desktop/Sol,3,0.01%
/tmp/.//Contents/MacOS/,3,0.01%
/Users/maria/Desktop/splunkd,3,0.01%
/Users/maria/Desktop/VisualStudioUpdater,3,0.01%
chown,3,0.01%
/Users/bruno/Desktop/installMacOS,3,0.01%
su,3,0.01%
~/Library/bIcmY2y4oGuOMOqiAWDtCNaZrYaIy1,3,0.01%
/Users/user1/Library/Fonts/safarifontsagent,3,0.01%
/Users/bruno/Desktop/tpe-proxy-universe,3,0.01%
/Users/maria/Desktop/CalendlySetup,3,0.01%
/Users/bruno/Desktop/BattleForge,3,0.01%
/Users/maria/Desktop/Install-Parallels-Desktop,3,0.01%
/Users/bruno/Desktop/NotionSetup,3,0.01%
/Users/maria/Desktop/clash,3,0.01%
/Users/maria/Desktop/ArcInstaller,3,0.01%
/Users/bruno/Desktop/Apple_App_v2_24,3,0.01%
/Users/bruno/Desktop/ArcInstaller,3,0.01%
/Users/maria/Desktop/keylogger,3,0.01%
/Users/maria/Desktop/NightVerse,3,0.01%
/Users/maria/Desktop/d_mac_x64,3,0.01%
/Users/maria/Desktop/TrelloSetup,3,0.01%
/usr/sbin/netstat,3,0.01%
/Users/user1/Desktop/merlin,3,0.01%
/Users/maria/Desktop/chesscoin-qt,3,0.01%
/Users/maria/Desktop/osx-x64-meterpreter_reverse_http,3,0.01%
/Users/maria/Desktop/TunnelBlick,3,0.01%
/Users/bruno/Desktop/adapter.bin,3,0.01%
perl,3,0.01%
/Users/maria/Desktop/AutoUpdate,3,0.01%
/Users/user1/Desktop/EndPoint,3,0.01%
/Users/maria/Desktop/agent,3,0.01%
/Users/bruno/Desktop/ChromeSetup,2,0.01%
/Users/maria/Desktop/Chrome_Update,2,0.01%
/Users/user1/Desktop/1d77094ba1bcd2f1e973ad99d02c27176cf6c25f34810fc3d7d489a71115,2,0.01%
/Users/maria/Desktop/Open_in_AppStore,2,0.01%
/Users/maria/Library/Preferences/Tools/arch,2,0.01%
/Users/maria/Desktop/CorporateVPNApp,2,0.01%
~/Library/mnS3tyffccTAmU2NSio81SHHJoesE6,2,0.01%
/Users/maria/Desktop/macos,2,0.01%
/Users/maria/Desktop/futurerestore,2,0.01%
/Users/maria/Desktop/KidLogger,2,0.01%
~/Library/5fH02DsIqM8nCdrPNfdwzOrUupRHLz,2,0.01%
/Users/maria/Desktop/DataCollector,2,0.01%
/Users/maria/Desktop/StandardBoost.gqa,2,0.01%
/private/tmp/bho.exe,2,0.01%
/Users/maria/Desktop/uniproxy,2,0.01%
/Users/maria/Desktop/promo,2,0.01%
/usr/sbin/ioreg,2,0.01%
/Users/user1/Desktop/.Logic,2,0.01%
/Users/bruno/Desktop/VortaxSetup,2,0.01%
/Users/user1/Desktop/ioxcheck,2,0.01%
/Users/bruno/Desktop/Notion-3-2-1-universal,2,0.01%
~/Library/BxcwEOOrqw0DunnukvdWCgw4bvNVof,2,0.01%
/Users/maria/Desktop/com.apple.fmkd,2,0.01%
/Users/maria/Desktop/Notion-3-2-1-universal,2,0.01%
/Users/maria/Desktop/regcomp.bin,2,0.01%
/Users/test/Desktop/CrackInstaller,2,0.01%
/Users/maria/Desktop/ViaWorld,2,0.01%
/Users/maria/Desktop/ChromeSetup,2,0.01%
diskutil,2,0.01%
/Users/bruno/Desktop/SpectraSetup,2,0.01%
/Users/maria/Desktop/Majestic,2,0.01%
/Users/maria/Desktop/PostgreSQL,2,0.01%
~/Library/1111,2,0.01%
/Users/bruno/Desktop/GoogleChromeUpdate,2,0.01%
/Users/maria/Desktop/Bitwarden,2,0.01%
/Users/bruno/Desktop/Bitwarden,2,0.01%
/Users/maria/Desktop/alibaba.AliInputGuard,2,0.01%
/Users/maria/Desktop/xmrig,2,0.01%
/Users/maria/Desktop/Arc12645415,2,0.01%
/Users/maria/Desktop/Peercoin-Qt,2,0.01%
/Users/bruno/Desktop/myclient,2,0.01%
/Users/user1/Desktop/sample.bin,2,0.01%
sh -c head,2,0.01%
/Users/maria/Desktop/chisel-darwin_amd64,2,0.01%
/Users/maria/Desktop/systemd,2,0.01%
/Users/maria/Desktop/mammothfrpc,2,0.01%
/Users/maria/Desktop/Calendly,2,0.01%
/Users/maria/Desktop/villain_agent,2,0.01%
/Users/bruno/Desktop/Calendly,2,0.01%
/Users/user1/Desktop/neoxad,2,0.01%
/Users/maria/Desktop/PackageInstall,2,0.01%
sh -c launchctl,2,0.01%
/Users/maria/Desktop/.X1-unix,2,0.01%
/Users/bruno/Desktop/vera,2,0.01%
/Users/user1/Desktop/fscan_darwin,2,0.01%
sh -c /usr/bin/tar,2,0.01%
ping,2,0.01%
sh -c sh,2,0.01%
/Users/maria/Desktop/FigmaSetup,2,0.01%
/Users/maria/Desktop/aircrack-ng,2,0.01%
/Users/maria/Desktop/CalendlyApp,2,0.01%
/Users/bruno/Desktop/Chrome,2,0.01%
/Users/maria/Desktop/Chrome,2,0.01%
/System/Library/PrivateFrameworks/Apple80211.framework/Versions/Current/Resources/airport,2,0.01%
uniq,2,0.01%
/Users/maria/Desktop/UMG,2,0.01%
/Users/maria/Desktop/Notion-3-1-0-universal,2,0.01%
/Users/maria/Desktop/Apple_App_v1_22,2,0.01%
/Users/bruno/Desktop/Requirements,2,0.01%
/Users/user1/Desktop/chisel,2,0.01%
/Users/maria/Desktop/9733834750,2,0.01%
/Users/maria/Desktop/NatureSetup,2,0.01%
/Users/maria/Desktop/BrewApp,2,0.01%
/Applications/Adobe,2,0.01%
/Users/maria/Desktop/.Safari_V8_config,2,0.01%
sh -c MACHINEID='$(ioreg,2,0.01%
/Users/maria/Desktop/adb,2,0.01%
/bin/mkdir,2,0.01%
/Users/bruno/Desktop/WorldSetup,2,0.01%
/Users/maria/Desktop/Notion_MacOS,2,0.01%
/Users/bruno/Desktop/Notion_MacOS,2,0.01%
