Hash,Avg_Entropy,Packed
7fd4d0e28a4a205cfb99a4c8587b86d0,4.060741562394161,not packed
7fa870bc23bce3869a926f12e25c0794,4.812029447973611,not packed
7f7d1e324b00da19f0248d21fb5035fd,6.687870420174199,packed
7ae11b0481ee7437b02fe52a303a131c,6.2429635382272455,not packed
799aad72a7bef455e866597e70dc3cac,6.103197349521925,not packed
77f70adde63b166cd874d15273215bdd,6.2094449211635006,not packed
7795d07d31eb283fec6b5f606cad3641,6.553210233204798,packed
7727e52bc0b78721534775072b124a87,5.87608834368132,not packed
76888f7a8d657fc7a7c189d5827f899f,6.943569193676294,packed
755a089ed356da9405f81927045fdca9,5.993579240214311,not packed
72dbfb6d3ac12a031449a01b29e2c805,6.943567645993192,packed
704fd37f2e0a0d624c7430031beaa19f,5.547519475483317,not packed
6da3c9824e61069125a19506a8ad420f,6.146271392339638,not packed
6acfbd1668f5b816ffb09519a2f24bb7,5.044905052225567,not packed
69b16c41f9653e733aa1283e66ef071f,6.195852492583381,not packed
68399920d44cd8f1aad0db74f3a91c5c,6.167826998304264,not packed
660d983b11befc8a81601390230bb654,6.257010289851881,not packed
623c5bb349ee56278b6c70a80e6d1ac7,6.0975209932180725,not packed
609e73a084ded8b8081ec26997bc3cc2,6.112395081435977,not packed
5fd2b00ada7891e650e6a93c6b4dd7a1,6.730695950835385,packed
5d577e05d524eecbf3264058ec52a3c6,5.45958034996544,not packed
5cdc0ce674b3160871eded68fa572547,6.781644384997002,packed
5cd74113d523e3e4c1aabc485e3df6f1,5.64079287451309,not packed
5bf00587eb01ebd299fa35a15f8ac0bc,6.022880717380432,not packed
5b0b8b41f93afced2f4611cb86a56f26,6.942358426144665,packed
5abd4e8ee43c24b7e21d380eea7c9710,6.504743874513077,packed
5a1d9f184514838e9620521c964059e8,5.390868601484131,not packed
59b94387e4b146a28841791421495988,6.233187345508632,not packed
5539b5d3ae9a66acd7028590aaa2ae4f,6.945619834198061,packed
4df356db54be811757b595df94998934,6.943290886894167,packed
4c8f054f6b3e4893c2c59e18c71637ff,6.945619817406436,packed
4ab48626ace9c8b6f6f3013e0b6d6f03,6.274158238659652,not packed
49502f3bf5eb92c251cb93fedf369c40,3.204914403884404,not packed
