Hash,Family,first_submission_date,code_sign,cpu_type
671ecd10c6784400b167fe1fa4c2a167,SINGLETON,2024-06-24,,x86_64
47bcd5de566c3e6cda74fa2f76c1d688,SINGLETON,2024-03-31,MissingPlist,x86_64
97b4d6bc15b25a34e0a0576ebf0e006b,SINGLETON,2023-11-09,,x86_64
660d983b11befc8a81601390230bb654,malsource,2023-07-06,MissingPlist,x86_64
46783fdd5ebd314f2d8d7927e10017bf,SINGLETON,2024-06-29,,ARM_64
46385f4281822e868122a9f9d8b7458f,SINGLETON,2023-06-08,MissingPlist,x86_64
623c5bb349ee56278b6c70a80e6d1ac7,SINGLETON,2023-06-11,MissingPlist,x86_64
462a4c6c29e76375710deb2b486f65b4,SINGLETON,2024-05-22,MissingPlist,x86_64
44fab4d2d19c1958deee8c5820817578,SINGLETON,2024-03-03,MissingPlist,x86_64
609e73a084ded8b8081ec26997bc3cc2,SINGLETON,2023-07-21,Valid,ARM_64
4411829b3a2689d52bb268d580fa4609,SINGLETON,2021-09-04,MissingPlist,x86_64
5fd2b00ada7891e650e6a93c6b4dd7a1,maltiverza,2022-09-05,,ARM_64
4400e2aa13cc05a9c67b27ddafcf657e,puagent,2024-07-06,MissingPlist,x86_64
5d577e05d524eecbf3264058ec52a3c6,SINGLETON,2023-05-01,,x86_64
5cdc0ce674b3160871eded68fa572547,reverseshell,2023-10-10,,ARM_64
415681072be4652d4025e768340b5351,SINGLETON,2020-07-09,MissingPlist,x86_64
5cd74113d523e3e4c1aabc485e3df6f1,SINGLETON,2023-02-08,,ARM_64
40311cdf4f04e3b1e418c7fd717aaf78,SINGLETON,2024-05-03,,ARM_64
5bf00587eb01ebd299fa35a15f8ac0bc,SINGLETON,2023-06-08,,x86_64
5bcdfe094a6f8482dc51ac1deafebed6,maccleaner,2018-07-07,,x86_64
5b0b8b41f93afced2f4611cb86a56f26,SINGLETON,2024-04-14,,x86_64
3da3790d0a7c1536e03b2c4e1edd13bd,SINGLETON,2020-03-13,Valid,x86_64
5abd4e8ee43c24b7e21d380eea7c9710,ngrok,2023-01-16,Valid,ARM_64
3d4d98d4ddc8009651f85f953a75d319,amos,2024-10-31,,"x86_64, ARM_64"
5a1d9f184514838e9620521c964059e8,SINGLETON,2021-10-15,Valid,x86_64
3cfff5198ea80ff47804cc694f188959,sliver,2023-05-28,,x86_64
59b94387e4b146a28841791421495988,SINGLETON,2023-06-20,MissingPlist,x86_64
3b411002f7badde06100d2cb609eb4f9,sliver,2023-05-28,,x86_64
587474085a24feebff922c1f69a25676,portscanner,2024-08-22,,ARM_64
38ab0371e6014687ba5d53d53fd16e5c,SINGLETON,2023-08-05,MissingPlist,x86_32
5539b5d3ae9a66acd7028590aaa2ae4f,SINGLETON,2024-04-19,,x86_64
34f57da2590f0793372eca2c0ea7357a,SINGLETON,2024-06-28,,ARM_64
34d5eb10210868b2e8de110a48b1457e,SINGLETON,2024-04-19,,x86_64
4df356db54be811757b595df94998934,SINGLETON,2024-04-19,,x86_64
3375f46dd50f8699933dde2db6f06b00,SINGLETON,2021-09-24,,x86_64
3340047ddcd2d3fa93b37ab59737c018,imobie,2023-06-16,MissingPlist,x86_64
4d72626a9aebbae78157c03f3cc9c07d,SINGLETON,2016-08-24,Valid,x86_64
332c3eb4aeed443d1ba1df0acb1d72ec,imobie,2023-11-20,MissingPlist,x86_64
4c8f054f6b3e4893c2c59e18c71637ff,SINGLETON,2024-04-16,,x86_64
319a73b033b0e0b5fd121a8382853743,chisel,2024-04-10,Valid,ARM_64
300fbcc2778664aaa698a88d1726846e,SINGLETON,2023-07-31,MissingPlist,x86_64
4ab48626ace9c8b6f6f3013e0b6d6f03,SINGLETON,2022-10-27,,ARM_64
2fb17ec156e75a0d6658210c505b8691,SINGLETON,2024-04-17,,x86_64
2e1b3add52363020ee61645ca9e7221c,SINGLETON,2023-06-13,,x86_64
4a20248ec758e35123e4788fe30f12ff,SINGLETON,2023-08-28,,x86_32
2d5af8b288a9ceb0b5b072492393abac,SINGLETON,2023-06-15,,x86_64
2d56c0fc52f844ca5e1801f5e48416e8,SINGLETON,2020-03-11,Valid,x86_64
49502f3bf5eb92c251cb93fedf369c40,SINGLETON,2023-03-08,,ARM_64
47f0829559de90a4acc4d09b42371bf9,imobie,2016-03-31,MissingPlist,x86_64
2cb4755a8748f34c32e66966fe091ddd,SINGLETON,2018-04-19,MissingPlist,x86_32
47e22e2b67d592daf545f7f5c4041bfb,SINGLETON,2021-12-04,MissingPlist,x86_64
47ed7e58b64a54e0159682604d8e29ed,SINGLETON,2023-06-14,,x86_64
2c30f9e71a9601a98095f30afb5a8f43,SINGLETON,2023-06-08,MissingPlist,x86_32
1890dd1c0c78512c0c80db74bb68eecd,imymac,2020-12-04,MissingPlist,x86_64
2c0af7614c84926a3ee0b3b0d317dde2,SINGLETON,2020-03-26,NotTrusted,x86_64
1803de51199e419766474dedc845b454,SINGLETON,2023-06-19,,PPC_32
170bb42f58681c4db057cb3c83f2a0eb,SINGLETON,2022-10-28,Valid,x86_64
2b45a8a44a955c5889a4c1f35588348a,SINGLETON,2023-06-27,MissingPlist,x86_64
286969377be4fdbdd958fdf0dfe5a4cb,SINGLETON,2022-06-04,Valid,x86_64
1414acf4a59cc4888f269c38325a6cc9,SINGLETON,2023-06-16,MissingPlist,x86_32
27d26530ad4c6ae34078366068f821aa,SINGLETON,2023-08-08,MissingPlist,x86_32
139226a76fc31442c22ec4753dca1509,malsource,2023-06-22,MissingPlist,ARM_64
277462ccf1d6b91660b7a51afd0dd993,mackeeper,2023-05-05,MissingPlist,x86_64
272195ec62d3db885040351e9971da9f,puagent,2020-12-30,,x86_64
113af4bbc1c99f7d36d2821054a06a62,SINGLETON,2021-11-04,Valid,x86_64
100818852d953b5f1091a83f85c285a5,SINGLETON,2023-01-09,Valid,x86_64
0f996c53bb638a01cf94642afd67ed56,puagent,2024-07-06,MissingPlist,x86_64
2274459df8dfe4d43517b51e1a988187,SINGLETON,2024-04-19,,x86_64
21b7040fc9e5a4339533bbd414eeac34,SINGLETON,2023-06-16,MissingPlist,x86_64
0e6704d45ebb640afe1257a8c36a9474,bitcoinmin,2024-10-29,,x86_64
204c627029a5dd2af5eaa626b51d89a6,SINGLETON,2023-05-05,,x86_64
0b626c79ed074ed77e9c2c403d085b87,SINGLETON,2023-06-09,MissingPlist,x86_32
1f942914dbe0956e9bd6edb06cdc1bb2,SINGLETON,2023-08-27,MissingPlist,x86_64
1f6da5b827d1d6be50befa97b37f9a6e,SINGLETON,2024-01-03,,ARM_64
0a351f05186f49fc9ed68fc19e370d33,SINGLETON,2020-11-24,MissingPlist,x86_64
1efd762364f932468ffcac9228f444a5,SINGLETON,2022-02-10,NotTrusted,x86_64
0596f96c0b0b0961b4b125a87e6784ea,SINGLETON,2023-06-13,MissingPlist,x86_32
1dbfc616110bdba31ad3ef308eec3430,imyfone,2023-08-27,Valid,x86_64
0547c8f248750c0355da3f88a664f0e4,limerain,2021-05-23,Valid,x86_64
1cc19d349492260ec7f0a24f6ea5bf29,puagent,2021-01-08,MissingPlist,x86_64
046c245130fab917e2cc4dc0bc4440d9,SINGLETON,2024-05-10,,ARM_64
1b69eb38463f88ae2e8c626919ab9fda,SINGLETON,2023-08-06,,x86_64
1b4fbed4fe173b67aeadf53c799f1e3e,malsource,2023-06-12,MissingPlist,ARM_64
1a794cbfc43a758b3c0da0d81ae0ed76,imobie,2024-05-16,MissingPlist,x86_64
19031334f3da6d89bc08662ece28136c,SINGLETON,2024-06-29,,ARM_64
00bf732c31670ee05e6c8c478b135aed,limerain,2019-01-25,Valid,x86_64
003a39624a728a16f7c4a7a1e6b99936,imobie,2024-07-17,MissingPlist,x86_64
189242cdfe3d2c97bed7d6252ca5664b,puagent,2024-04-25,MissingPlist,x86_64
3ad30523da1ef99d5f339724400f1826,SINGLETON,2023-08-27,,x86_64
201589df10629c07d082fa5f0d50db5c,SINGLETON,2024-03-03,,"x86_64, ARM_64"
bb8364c645015920e2bc3244658a2e50,bundlore,2023-08-27,,x86_64
6973d3f2a7a341abe452855791ec3a65,bundlore,2023-06-19,,x86_64
47a9c82012af31e6c393f60e7be98300,amos,2024-01-27,,x86_64
c50e5a529f39746da4f58517db04ab3e,puagent,2024-02-10,Valid,x86_64
7dd5c12f6db70b972621cfd869e12b40,bundlore,2023-08-27,,x86_64
3751c51cd986635bef9aee22ef911209,SINGLETON,2023-07-27,,x86_64
666c0a1b06537d30b1dba04741933af1,maxofferdeal,2023-09-26,,x86_64
6707c416b7ad26a96e7f715c4cba83c6,meterpreter,2024-04-08,,x86_64
d8ee69e411ccbbcd910cbcfb1140e6f9,SINGLETON,2021-01-02,,x86_64
9823ca7e60fe57532c021815e2d02a73,mackontrol,2017-12-21,,"x86_32, PPC_32"
75708f532cfe7d02226b7514389e57c9,SINGLETON,2023-07-09,,x86_64
91093112832bdf19f47d643012ec60ba,tirrip,2023-08-27,,x86_64
dfa77461648f8245f61e0eb4bad488b7,SINGLETON,2024-09-04,,x86_64
913ad3cdc646c9d692788df094034be2,bundlore,2023-08-27,,x86_64
ee6626893d7eff58ea8ba92640ec4672,imobie,2023-10-31,MissingPlist,x86_64
101bf7877fa3e1933a51c43ecf77940c,amos,2024-07-19,,ARM_64
15fe04b715db6c20683f8bcd78fa50c8,genieo,2019-01-20,Invalid,x86_64
746f6ebb728e7da57b28b7f02d234854,cimpli,2023-08-27,,x86_64
bdbbc9fe33865888eb14ac9dc368a037,SINGLETON,2023-08-07,,x86_64
25456abaafb62da66360b9ce3fd9177e,amos,2023-12-19,,"x86_64, ARM_64"
5f60cc6361d3d2b0d4b394aad918b47c,bundlore,2023-08-24,,x86_64
faf151f11ed3b5330a22e83e51478852,amos,2024-04-09,,"x86_64, ARM_64"
ef5556e7fddb7f2e9e0cc67566f68066,flashback,2018-07-20,,x86_32
22262d0d6afc2416f3c64edd2c5ead5a,installcore,2017-05-07,,x86_64
ac7fdfca9daed7e8d1b87a76d2e4ff5c,SINGLETON,2024-04-30,,x86_64
5365e1b4664820a183fa9b9615ff5512,bundlore,2024-06-22,,x86_64
cb96086d444cc4e41c6444e2a08bf64f,SINGLETON,2023-12-26,,x86_64
4fbfa3572196020eba858c339ab3b44d,SINGLETON,2018-02-22,,x86_64
990bf9a7af7fdd6a89e689219694972b,bundlore,2024-07-01,,x86_64
e5f1f4052f6a1d162f2ad55fe7bc36de,SINGLETON,2023-08-27,,x86_64
34003f3fe85df12e083d046166f3b6e8,SINGLETON,2023-07-12,,x86_64
6fb510f9a98ff867c49d3631f308e0ce,gt32supportgeeks,2023-08-27,,x86_64
c7abd3d4c14270ec02306bfd5685f54d,synataeb,2024-05-02,MissingPlist,x86_64
da752210ca3504c87aa37edef3a98148,meterpreter,2024-06-28,,x86_64
e621fd70d579fc846bc4f1d9924f4660,mackontrol,2018-08-27,,"x86_32, PPC_32"
b52a3c36934b20a9ba54ad73960d8c84,bundlore,2024-04-25,,x86_64
beeef806e3353286c36123d8b878b7c8,bundlore,2023-08-27,,x86_64
7fbf1695872a0e1503e15bb5918f8a65,maxofferdeal,2024-04-25,,x86_64
cbbb386343c7edf2d63ba4e6161f8a38,poseidon,2020-05-19,,x86_64
5b72c73018dd10d750ca05b5c39ff2c8,SINGLETON,2021-07-06,,x86_64
500471a827d9e7fe5520e11b49ef7ee2,xcsset,2021-06-18,,ARM_64
de593f82559c4780052ea6b9cf16c29c,SINGLETON,2023-12-13,,ARM_32
b5b663716f3b5a46b6e570f0464119f3,cimpli,2020-12-10,,x86_64
7855cdba224ce63e9482e074bcb92060,proxyagent,2024-02-05,,x86_64
a98fc3d831bdb7bac0608540c59927c6,cimpli,2023-08-27,,x86_64
d9a7f8ef7ac8a449d0c3e84c81d37d4d,bundlore,2023-08-30,,x86_64
9435e08cbee8750d0aa516ba584b5498,bundlore,2023-08-31,,x86_64
4943aff4a0013e9a9ba9f939ab70c991,lador,2023-11-23,,x86_64
cf5bec537b5f27c5704bac5d35cf8fbc,mackontrol,2018-09-13,,"x86_32, PPC_32"
05e4c973c61550c2a4df4a4857c458bb,blueblood,2018-07-20,,x86_64
8562a7f9a779a317bffb4c3abbbfc873,bundlore,2023-08-27,,x86_64
de9190de06b78c700ad650db2b886685,SINGLETON,2023-08-25,,x86_64
dd37dca55d914dfdbb2e36ba109a6cd3,amos,2024-06-24,,x86_64
ad72848f2bde07fb4cdf59a58c285c31,bundlore,2024-04-26,,x86_64
1a57793da029d01512f1204bb916ab9c,cimpli,2023-06-21,,x86_64
89e04b1bca6e9aa6d0c5e33e7606df91,bundlore,2024-06-19,,x86_64
1dcbddbb6e633833d801a99e355a6c93,mackontrol,2018-08-16,,"x86_32, PPC_32"
41926ff4c108b0370ca48c4d4e811457,SINGLETON,2023-08-27,,x86_64
bb7768b84f2b7274e62be7d50dd1e537,bundlore,2023-08-26,,x86_64
cfe97bd365762517725408047b6450fb,surfbuyer,2023-08-26,,x86_64
bc87a09efa0a4877a31677258b19ce78,tirrip,2023-08-27,,x86_64
7ae0f0365014b033c4ee28d3dce8b1c8,SINGLETON,2023-12-27,,x86_64
ae28d4ee607b98e4c5088ab1135310a4,amos,2024-05-23,,ARM_64
7eff4b54edbd6c4d1a58fc8c875d4cf9,bundlore,2023-06-17,,x86_64
c0b814148a23251d5a69a065d8f6846a,bundlore,2023-08-27,,x86_64
6e0a74dcc81a7138c8b75cc8afbb4a45,SINGLETON,2023-06-30,,x86_64
8682d423ffec9e36dd572c91c53562e1,amos,2024-08-07,,x86_64
9a774c4c16ecd7b7a57dfa342b9936c7,bundlore,2023-12-13,,x86_64
08d620856fb13951623efa36e15f112f,evilquest,2020-09-23,,x86_64
4c5f869f113aec88f81daf87df5600a6,bundlore,2023-12-12,,x86_64
fb6a2d812bc1fb4c4ad7d57c3eac02b6,genieo,2016-07-05,,x86_64
2828998399144edd25e131ae0b7ccdc7,evilquest,2022-12-07,,x86_64
7e6fdf79595e1ea0dcf2e2dfc22b6dd6,amos,2023-12-04,,ARM_64
89cf9c9b3cb105f733c7fecf8866cb38,amos,2024-05-24,,"x86_64, ARM_64"
5d86e949e61b600c55b4da831f741e26,bundlore,2023-06-30,,x86_64
