Library,Count,% Over total
@@HOMEBREW_PREFIX@@/opt/boost/lib/libboost_filesystem-mt.dylib,31,0.14%
@@HOMEBREW_PREFIX@@/opt/boost/lib/libboost_regex-mt.dylib,31,0.14%
@@HOMEBREW_PREFIX@@/opt/boost/lib/libboost_serialization-mt.dylib,30,0.14%
@@HOMEBREW_PREFIX@@/opt/hidapi/lib/libhidapi.0.dylib,30,0.14%
@@HOMEBREW_PREFIX@@/opt/boost/lib/libboost_date_time-mt.dylib,30,0.14%
@executable_path/../Frameworks/libcurl.4.dylib,30,0.14%
/opt/local/lib/libz.1.dylib,29,0.13%
@executable_path/../Frameworks/QtQml.framework/Versions/5/QtQml,29,0.13%
@rpath/libavutil.56.dylib,29,0.13%
@rpath/libavformat.58.dylib,29,0.13%
@rpath/libx264.163.dylib,29,0.13%
@rpath/libavcodec.58.dylib,29,0.13%
@rpath/libcrypto.1.1.dylib,29,0.13%
@rpath/librtmp.1.dylib,29,0.13%
@rpath/libswresample.3.dylib,29,0.13%
@executable_path/../Frameworks/libirecovery-1.0.3.dylib,29,0.13%
@rpath/libswscale.5.dylib,29,0.13%
@rpath/libssl.1.1.dylib,29,0.13%
/opt/local/lib/libcrypto.1.0.0.dylib,28,0.13%
@executable_path/../Frameworks/libimobiledevice-1.0.6.dylib,27,0.12%
@rpath/GetInfoFramework.framework/Versions/A/GetInfoFramework,27,0.12%
/opt/homebrew/opt/openssl@3/lib/libssl.3.dylib,27,0.12%
@@HOMEBREW_PREFIX@@/opt/openssl@1.1/lib/libcrypto.1.1.dylib,27,0.12%
@rpath/FMDB.framework/Versions/A/FMDB,26,0.12%
/usr/lib/libtidy.A.dylib,26,0.12%
/usr/lib/libsasl2.2.dylib,26,0.12%
/opt/homebrew/opt/openssl@3/lib/libcrypto.3.dylib,26,0.12%
@@HOMEBREW_PREFIX@@/opt/openssl@1.1/lib/libssl.1.1.dylib,26,0.12%
/opt/local/lib/libssl.1.0.0.dylib,26,0.12%
@rpath/QtWebChannel.framework/Versions/5/QtWebChannel,26,0.12%
/usr/local/opt/zeromq/lib/libzmq.5.dylib,26,0.12%
@rpath/Sparkle.framework/Versions/B/Sparkle,26,0.12%
@rpath/libzip.5.dylib,26,0.12%
/System/Library/Frameworks/Combine.framework/Versions/A/Combine,26,0.12%
@rpath/QtMacExtras.framework/Versions/5/QtMacExtras,26,0.12%
@executable_path/rbframework.dylib,25,0.11%
@executable_path/../Frameworks/libevent-2.1.7.dylib,25,0.11%
@executable_path/../Frameworks/ServiceManager.framework/Versions/A/ServiceManager,25,0.11%
@rpath/QtWebEngineWidgets.framework/Versions/5/QtWebEngineWidgets,25,0.11%
@rpath/QtWebEngineCore.framework/Versions/5/QtWebEngineCore,25,0.11%
@executable_path/libcurl.4.dylib,25,0.11%
/System/Library/PrivateFrameworks/JavaApplicationLauncher.framework/Versions/A/JavaApplicationLauncher,25,0.11%
/System/Library/Frameworks/PCSC.framework/Versions/A/PCSC,25,0.11%
@rpath/sque.dylib,25,0.11%
@rpath/QtPrintSupport.framework/Versions/5/QtPrintSupport,25,0.11%
@rpath/QtPositioning.framework/Versions/5/QtPositioning,25,0.11%
@@HOMEBREW_PREFIX@@/opt/libsodium/lib/libsodium.23.dylib,24,0.11%
@loader_path/libfatman.dylib,24,0.11%
@executable_path/../Frameworks/libboost_program_options.dylib,24,0.11%
@executable_path/../Frameworks/libevent_pthreads-2.1.7.dylib,24,0.11%
@rpath/CocoaAsyncSocket.framework/Versions/A/CocoaAsyncSocket,24,0.11%
@rpath/SocketRocket.framework/Versions/A/SocketRocket,24,0.11%
/System/Library/Frameworks/CoreGraphics.framework/CoreGraphics,24,0.11%
@rpath/QtXmlPatterns.framework/Versions/5/QtXmlPatterns,24,0.11%
/usr/local/opt/boost/lib/libboost_context-mt.dylib,24,0.11%
@rpath/libpostproc.55.dylib,23,0.10%
@rpath/libmp3lame.0.dylib,23,0.10%
@rpath/libmodplug.1.dylib,23,0.10%
@rpath/libogg.0.dylib,23,0.10%
@rpath/libopencore-amrnb.0.dylib,23,0.10%
@rpath/opencv2.framework/opencv2,23,0.10%
@rpath/libopencore-amrwb.0.dylib,23,0.10%
@rpath/libopus.0.dylib,23,0.10%
/usr/local/opt/pcre/lib/libpcre.1.dylib,23,0.10%
@rpath/libfreetype.6.dylib,23,0.10%
/usr/lib/libmenu.5.4.dylib,23,0.10%
@rpath/libsnappy.1.dylib,23,0.10%
@rpath/libsoxr.0.dylib,23,0.10%
@rpath/libspeex.1.dylib,23,0.10%
/usr/lib/libpanel.5.4.dylib,23,0.10%
@rpath/libtheoradec.1.dylib,23,0.10%
@rpath/libtheoraenc.1.dylib,23,0.10%
@rpath/libvidstab.1.1.dylib,23,0.10%
@rpath/libvorbisenc.2.dylib,23,0.10%
@rpath/CocoaSecurity.framework/Versions/A/CocoaSecurity,23,0.10%
/usr/local/opt/boost/lib/libboost_coroutine-mt.dylib,23,0.10%
@rpath/libzmq.5.dylib,23,0.10%
@rpath/libgsm.1.0.13.dylib,23,0.10%
@rpath/libvorbis.0.dylib,23,0.10%
@rpath/libfontconfig.1.dylib,23,0.10%
@rpath/libass.9.dylib,23,0.10%
@rpath/libdav1d.5.dylib,23,0.10%
@rpath/libaom.3.dylib,23,0.10%
@rpath/libbluray.2.dylib,23,0.10%
@rpath/libavfilter.7.dylib,23,0.10%
@rpath/AirPlayServer.framework/Versions/A/AirPlayServer,22,0.10%
@rpath/IMBMediaLibrary.framework/Versions/A/IMBMediaLibrary,22,0.10%
@executable_path/../Frameworks/libplist-2.0.3.dylib,22,0.10%
@loader_path/../Frameworks/HockeySDK.framework/Versions/A/HockeySDK,22,0.10%
/usr/local/opt/gmp/lib/libgmp.10.dylib,22,0.10%
/System/Library/Frameworks/MediaLibrary.framework/Versions/A/MediaLibrary,22,0.10%
@executable_path/../Frameworks/Lumberjack.framework/Versions/A/Lumberjack,21,0.10%
/System/DriverKit/System/Library/Frameworks/DriverKit.framework/DriverKit,21,0.10%
@rpath/ThreadFramwork.framework/Versions/A/ThreadFramwork,21,0.10%
@executable_path/../Frameworks/NotifyCenter.framework/Versions/A/NotifyCenter,21,0.10%
@rpath/CryptoSwift.framework/Versions/A/CryptoSwift,21,0.10%
@rpath/libusb-1.0.0.dylib,21,0.10%
@rpath/libswiftCoreMedia.dylib,21,0.10%
/System/Library/Frameworks/QuickTime.framework/Versions/A/QuickTime,21,0.10%
@rpath/libboost_regex-mt-x64.dylib,20,0.09%
/System/Library/Frameworks/CryptoKit.framework/Versions/A/CryptoKit,20,0.09%
@executable_path/../Frameworks/SqliteParseCore.dylib,20,0.09%
@rpath/INPopoverController.framework/Versions/A/INPopoverController,20,0.09%
@rpath/libboost_date_time-mt-x64.dylib,20,0.09%
@rpath/libboost_chrono-mt-x64.dylib,20,0.09%
@rpath/libboost_thread-mt-x64.dylib,20,0.09%
@rpath/libboost_system-mt-x64.dylib,20,0.09%
@rpath/libde265.framework/Versions/A/libde265,20,0.09%
@rpath/libheif.framework/Versions/A/libheif,20,0.09%
@rpath/libboost_atomic-mt-x64.dylib,20,0.09%
@loader_path/../Frameworks/CrashReporter.framework/Versions/A/CrashReporter,20,0.09%
@rpath/SharedUtils.dylib,20,0.09%
/opt/homebrew/Cellar/aircrack-ng/1.7_1/lib/libaircrack-osdep-1.7.0.dylib,20,0.09%
@rpath/libboost_serialization-mt-x64.dylib,20,0.09%
@rpath/libboost_filesystem-mt-x64.dylib,20,0.09%
@rpath/libMFReview.dylib,20,0.09%
@rpath/libMFMessageCenter.dylib,20,0.09%
@rpath/libMFMember.dylib,20,0.09%
@executable_path/Python,20,0.09%
@rpath/libboost_program_options-mt-x64.dylib,20,0.09%
@loader_path/libssl.dylib,20,0.09%
/usr/lib/system/libcorecrypto.dylib,20,0.09%
@executable_path/../Frameworks/libimobiledevice-glue-1.0.0.dylib,19,0.09%
@executable_path/../Frameworks/libprotobuf.9.dylib,19,0.09%
@rpath/QtCharts.framework/Versions/5/QtCharts,19,0.09%
/opt/homebrew/opt/sqlite/lib/libsqlite3.0.dylib,19,0.09%
/usr/local/opt/qt/lib/QtWidgets.framework/Versions/5/QtWidgets,19,0.09%
/usr/local/opt/qt/lib/QtNetwork.framework/Versions/5/QtNetwork,19,0.09%
