Symbol,Count
dispatch_get_global_queue,4801.0
kSecAttrIsPermanent,4789.0
sym.imp.AnyHashable,4779.0
NSImageView,4772.0
kSecAttrKeySizeInBits,4758.0
kSecAttrCanDecrypt,4752.0
kSecAttrCanEncrypt,4752.0
SecKeyGenerateSymmetric,4750.0
kSecAttrKeyTypeRC2,4750.0
puts,4748.0
CFDataGetBytes,4733.0
sym.imp.std::__1::__next_prime(unsigned long),4693.0
NSColor,4692.0
__stdoutp,4692.0
_Block_release,4670.0
pthread_join,4659.0
objc_sync_enter,4633.0
fchmod,4632.0
objc_sync_exit,4632.0
NSClassFromString,4600.0
pthread_kill,4598.0
pthread_cond_destroy,4555.0
atoi,4519.0
sym.imp.Int32,4519.0
objc_destroyWeak,4512.0
sendto,4506.0
access,4499.0
CC_MD5,4483.0
objc_loadClassref,4481.0
arc4random,4465.0
objc_alloc,4454.0
dispatch_time,4449.0
NSRunLoop,4428.0
objc_allocWithZone,4420.0
objc_loadWeakRetained,4405.0
sym.imp.std::__1::cerr,4404.0
recvfrom,4404.0
setenv,4387.0
CFEqual,4378.0
pthread_getspecific,4345.0
setuid,4317.0
pthread_key_create,4308.0
NSNotificationCenter,4264.0
if_nametoindex,4264.0
writev,4257.0
dispatch_semaphore_create,4255.0
sym.imp.std::__1::to_string(unsigned long),4233.0
NSTemporaryDirectory,4232.0
pthread_attr_destroy,4231.0
setgid,4231.0
NSHomeDirectory,4210.0
objc_getProperty,4192.0
sym.imp.Int8,4192.0
objc_exception_rethrow,4183.0
readdir_r$INODE64,4179.0
_dyld_get_image_header,4144.0
NSError,4137.0
dispatch_after,4117.0
swift_bridgeObjectRelease,4099.0
setgroups,4074.0
swift_release,4070.0
stat64,4065.0
NSZeroRect,4051.0
_swift_FORCE_LOAD_$_swiftDispatch,4045.0
_swift_FORCE_LOAD_$_swiftFoundation,4045.0
_swift_FORCE_LOAD_$_swiftDarwin,4045.0
_swift_FORCE_LOAD_$_swiftObjectiveC,4045.0
_swift_FORCE_LOAD_$_swiftCoreFoundation,4032.0
NSTimer,4029.0
_swift_FORCE_LOAD_$_swiftCoreGraphics,4025.0
_swift_FORCE_LOAD_$_swiftIOKit,4024.0
malloc_size,4016.0
strftime,3988.0
dispatch_sync,3988.0
swift_bridgeObjectRetain,3979.0
setpgid,3972.0
strtoull,3961.0
pwrite,3952.0
strrchr,3941.0
swift_retain,3939.0
fstat64,3934.0
NSUserName,3927.0
dup,3910.0
wait4,3899.0
sym.imp.UInt32,3875.0
dispatch_queue_create,3865.0
ptrace,3837.0
SCNetworkReachabilityGetFlags,3836.0
dispatch_semaphore_wait,3826.0
dispatch_semaphore_signal,3821.0
unsetenv,3813.0
chroot,3806.0
NSFont,3789.0
swift_getWitnessTable,3785.0
NSURLSessionConfiguration,3743.0
clock_gettime,3700.0
swift_allocObject,3687.0
dispatch_once_f,3668.0
sym.imp._StringGuts,3651.0
NSFileSize,3651.0
NSTextField,3637.0
rewind,3620.0
sqlite3_close,3574.0
perror,3560.0
__sprintf_chk,3557.0
SCNetworkReachabilityCreateWithAddress,3540.0
sym.imp.std::bad_array_new_length::~bad_array_new_length(),3539.0
sym.imp.std::bad_array_new_length::bad_array_new_length(),3539.0
objc_retainBlock,3538.0
_exit,3537.0
sym.imp.typeinfo for std::bad_array_new_length,3529.0
NSPredicate,3525.0
poll,3523.0
vsnprintf,3519.0
_swift_FORCE_LOAD_$_swiftXPC,3518.0
SecCertificateCopyData,3510.0
sqlite3_step,3502.0
CFDictionaryContainsKey,3488.0
CFDictionaryGetValueIfPresent,3483.0
sym.imp.UInt,3481.0
sqlite3_prepare_v2,3467.0
stat,3461.0
NSSelectorFromString,3447.0
NSSetUncaughtExceptionHandler,3445.0
inet_ntoa,3442.0
lstat$INODE64,3437.0
swift_unknownObjectRelease,3415.0
SecPolicyCreateSSL,3396.0
_swiftEmptyArrayStorage,3396.0
strtoll,3380.0
fchown,3377.0
swift_deallocObject,3374.0
__memset_chk,3371.0
sysconf,3369.0
swift_dynamicCast,3364.0
_swift_FORCE_LOAD_$_swiftQuartzCore,3359.0
___chkstk_darwin,3354.0
_swift_FORCE_LOAD_$_swiftCoreImage,3352.0
_swift_FORCE_LOAD_$_swiftMetal,3350.0
CCKeyDerivationPBKDF,3341.0
swift_once,3333.0
Gestalt,3327.0
sym.imp.ImplicitlyUnwrappedOptional,3322.0
SecTrustGetCertificateAtIndex,3320.0
SecCertificateCreateWithData,3319.0
SecTrustGetCertificateCount,3305.0
getnameinfo,3285.0
objc_copyWeak,3275.0
objc_initWeak,3272.0
sym.imp.typeinfo for short,3271.0
sqlite3_finalize,3266.0
sym.imp.UInt16,3265.0
AEDisposeDesc,3250.0
NSWindowController,3245.0
arc4random_uniform,3243.0
SecTrustCreateWithCertificates,3238.0
NSScreen,3224.0
NSLinkModule,3211.0
NSCreateObjectFileImageFromMemory,3209.0
swift_getInitializedObjCClass,3201.0
NSLock,3194.0
sqlite3_column_text,3181.0
sym.imp.typeinfo for int,3180.0
NSRunningApplication,3165.0
dispatch_group_create,3160.0
sym.imp.std::bad_alloc::~bad_alloc(),3149.0
objc_terminate,3143.0
NSURLRequest,3130.0
CC_SHA1,3122.0
swift_getObjCClassMetadata,3122.0
sym.imp.__CocoaDictionary,3098.0
fdopendir$INODE64,3086.0
lstat64,3079.0
CFStringCreateWithCString,3074.0
NSForegroundColorAttributeName,3043.0
NSURLConnection,3042.0
sqlite3_open,3041.0
$s10Foundation4DataV36_unconditionallyBridgeFromObjectiveCyACSo6NSDataCSgFZ,3041.0
vfprintf,3038.0
$sypN,3031.0
floor,3028.0
NSLocale,3027.0
round,3014.0
swift_deallocClassInstance,3006.0
sym.imp.std::runtime_error::runtime_error(std::runtime_error const&),2998.0
SecTrustSettingsCopyCertificates,2997.0
SecTrustSettingsCopyTrustSettings,2997.0
SecPolicyCopyProperties,2991.0
sym.imp.ReversedCollection,2980.0
NSAutoreleasePool,2979.0
strerror_r,2970.0
pthread_key_delete,2970.0
sym.imp.IndexingIterator,2967.0
NSUUID,2967.0
NSDefaultRunLoopMode,2952.0
$s10Foundation4DataVN,2945.0
AECreateDesc,2937.0
_dispatch_queue_attr_concurrent,2929.0
mlock,2921.0
strcasecmp,2917.0
NSSet,2913.0
_swift_FORCE_LOAD_$_swiftAppKit,2896.0
NSLocalizedDescriptionKey,2889.0
sym.imp._ContiguousArrayStorage.allocator,2879.0
getentropy,2869.0
__strcat_chk,2869.0
swift_deletedMethodError,2865.0
select$1050,2857.0
sym.imp.UInt64,2844.0
NSPropertyListSerialization,2792.0
openat,2784.0
pthread_once,2782.0
swift_beginAccess,2772.0
swift_errorRelease,2770.0
sym.imp.std::bad_alloc::bad_alloc(),2761.0
sym.imp.std::logic_error::logic_error(std::logic_error const&),2758.0
__stdinp,2755.0
dispatch_source_create,2754.0
dispatch_resume,2754.0
NSFontAttributeName,2753.0
ceil,2749.0
dispatch_source_set_event_handler,2745.0
deflate,2738.0
deflateEnd,2738.0
_swift_FORCE_LOAD_$_swiftCoreData,2735.0
sym.imp.Builtin.NativeObject,2734.0
objc_storeWeak,2733.0
pthread_mutexattr_init,2717.0
NSMutableSet,2709.0
flock,2693.0
CFUUIDCreateString,2690.0
pthread_mutexattr_settype,2690.0
sym.imp.Error.setter,2677.0
setrlimit,2671.0
swift_initStackObject,2666.0
CFAbsoluteTimeGetCurrent,2659.0
getpwnam,2655.0
sym.imp.Builtin.UnknownObject,2650.0
sym.imp._stringCompareWithSmolCheck.._,2644.0
pthread_mutexattr_destroy,2633.0
swift_endAccess,2632.0
swift_isUniquelyReferenced_nonNull_native,2631.0
sym.imp.std::current_exception(),2606.0
sym.imp.std::__1::thread::detach(),2606.0
localtime_r,2602.0
sym.imp.OptionSet.setter,2601.0
swift_bridgeObjectRelease_n,2596.0
pthread_mutex_trylock,2577.0
__snprintf_chk,2570.0
fchdir,2567.0
$s10Foundation3URLVMa,2552.0
NSTimeZone,2546.0
getxattr,2537.0
NSInputStream,2523.0
__exp10,2521.0
sym.imp.std::logic_error::~logic_error(),2516.0
freopen,2510.0
NSTextView,2501.0
NSStringFromClass,2500.0
sqlite3_open_v2,2499.0
swift_bridgeObjectRetain_n,2499.0
gmtime,2498.0
CFArrayAppendValue,2498.0
CFArrayCreateMutable,2497.0
LSSharedFileListCreate,2489.0
sym.imp._bridgeAnyObjectTo,2483.0
dispatch_source_cancel,2483.0
CFUUIDCreate,2471.0
$sSD10FoundationE19_bridgeToObjectiveCSo12NSDictionaryCyF,2459.0
sym.imp.print.separator.terminator,2452.0
kLSSharedFileListSessionLoginItems,2447.0
CFDataCreateMutable,2446.0
putenv,2443.0
fmod,2443.0
SCDynamicStoreCopyConsoleUser,2436.0
NSStringFromSelector,2434.0
$s10Foundation4DateVMa,2434.0
pthread_cond_timedwait,2432.0
sendfile,2431.0
sym.imp._DictionaryStorage.allocator,2431.0
NSRectFill,2430.0
getifaddrs,2429.0
sym.imp.std::logic_error::what() const,2426.0
$sSy10FoundationE4data5using20allowLossyConversionAA4DataVSgSSAAE8EncodingV_SbtF,2425.0
fsync,2425.0
freeifaddrs,2423.0
pow,2421.0
sym.imp._DictionaryStorage.allocate.allocator,2413.0
NSOpenPanel,2393.0
setitimer,2390.0
CGRectInset,2378.0
$s10Foundation4DateVACycfC,2375.0
sym.imp.DefaultStringInterpolation,2367.0
swift_arrayDestroy,2366.0
LSSharedFileListCopySnapshot,2365.0
sym.imp.SetAlgebra..Element.,2361.0
strtok,2360.0
CFDictionaryGetValue,2358.0
sym.imp.Int16,2355.0
CGWindowListCopyWindowInfo,2345.0
CC_SHA256,2342.0
NSAlert,2341.0
AECreateAppleEvent,2334.0
fputc,2327.0
NSAttributedString,2324.0
__strcpy_chk,2319.0
NSEvent,2317.0
NSValue,2314.0
LSSharedFileListItemRemove,2313.0
sym.imp.std::__1::ios_base::failure::~failure(),2307.0
CFRunLoopGetCurrent,2299.0
NSTrackingArea,2295.0
sym.imp.SetAlgebra.setter,2291.0
NSFileModificationDate,2273.0
__chkstk_darwin,2270.0
qsort,2268.0
NSMutableAttributedString,2265.0
NSKeyedUnarchiver,2265.0
NSCalendar,2256.0
AuthorizationCreate,2236.0
swift_isaMask,2231.0
sym.imp.vtable for std::__1::__assoc_sub_state,2223.0
sym.imp.typeinfo for std::__1::__assoc_sub_state,2223.0
$s10Foundation3URLV6stringACSgSSh_tcfC,2223.0
sym.imp.std::__1::__shared_count::~__shared_count(),2223.0
sym.imp.std::__1::__assoc_sub_state::set_exception(std::exception_ptr),2222.0
sym.imp.std::__1::__assoc_sub_state::wait(),2215.0
CGRectMakeWithDictionaryRepresentation,2212.0
objc_unsafeClaimAutoreleasedReturnValue,2211.0
$s10Foundation12CharacterSetVMa,2199.0
sym.imp.std::__1::future<void>::~future(),2194.0
mach_task_self_,2190.0
sym.imp.KEY_TYPE_OF_DICTIONARY_VIOLATES_HASHABLE_REQUIREMENTS,2179.0
sym.imp._DictionaryStorage.copy.allocator,2177.0
$s10Foundation13__DataStorageCMa,2175.0
sym.imp._DictionaryStorage.resize.allocator,2175.0
kCFBooleanFalse,2174.0
NSFileCreationDate,2172.0
$s10Foundation22_convertNSErrorToErrorys0E0_pSo0C0CSgF,2166.0
NSBezierPath,2154.0
uname,2152.0
LSSharedFileListInsertItemURL,2148.0
NSAppleScript,2142.0
$s10Foundation4DataV14RangeReferenceCMa,2138.0
NSZeroPoint,2138.0
$s10Foundation10URLRequestVMa,2137.0
gethostbyname,2133.0
swift_errorRetain,2132.0
sym.imp.typeinfo for long,2132.0
NSRegularExpression,2131.0
$s10Foundation10URLRequestV3url11cachePolicy15timeoutIntervalAcA3URLV_So017NSURLRequestCacheE0VSdtcfC,2131.0
$s10Foundation13__DataStorageC5bytes6lengthACSVSg_Sitcfc,2131.0
AESend,2130.0
$s10Foundation10URLRequestV19_bridgeToObjectiveCSo12NSURLRequestCyF,2130.0
NSGraphicsContext,2130.0
__cxa_call_unexpected,2128.0
LSSharedFileListItemResolve,2123.0
NSParagraphStyleAttributeName,2121.0
difftime,2113.0
NSCursor,2111.0
sym.imp.vtable for std::__1::system_error,2103.0
SecTrustEvaluate,2102.0
swift_stdlib_random,2099.0
kMDItemWhereFroms,2099.0
NSBitmapImageRep,2097.0
SecStaticCodeCreateWithPath,2087.0
sym.imp.Slice,2070.0
gethostuuid,2068.0
CFDateCreate,2059.0
sym.imp.std::__1::numpunct<char>::id,2058.0
SecRandomCopyBytes,2051.0
NSKeyedArchiver,2045.0
sym.imp.std::__1::locale::operator=(std::__1::locale const&),2045.0
kCFRunLoopCommonModes,2040.0
$s10Foundation4DataVSlAAMc,2039.0
__dynamic_cast,2039.0
SecTrustSetAnchorCertificates,2034.0
kCFRunLoopDefaultMode,2029.0
CFArrayCreate,2027.0
readlink,2027.0
kSecRandomDefault,2020.0
CFStringGetMaximumSizeForEncoding,2020.0
sym.imp.Unicode.UTF8..metadata.type,2017.0
sym.imp.Unicode.UTF8._,2017.0
strncasecmp,2011.0
NSMenu,2010.0
GetCurrentProcess,2009.0
CFBundleGetBundleWithIdentifier,1998.0
NSButtonCell,1997.0
NSSortDescriptor,1996.0
OSMemoryBarrier,1989.0
getattrlist,1989.0
NSWorkspaceDidLaunchApplicationNotification,1988.0
posix_memalign,1987.0
CFBundleGetFunctionPointerForName,1985.0
SecStaticCodeCheckValidityWithErrors,1984.0
dispatch_group_leave,1979.0
dispatch_group_enter,1979.0
sym.imp.std::__1::ios_base::imbue(std::__1::locale const&),1978.0
swift_unknownObjectRetain,1978.0
